"strangleslogid","eventdate","submittingvet_prim","nuts3gid","breedgen","sexgen","premesiscategory","age","submittinglab_prim","result"
853,2015-07-07,8,1260,"Sports horses","female","commercial",12,1,"qPCR"
582,2015-01-27,140,1292,"undefined","unreported","undefined",NA,1,"culture and qPCR"
863,2015-07-15,83,1470,"Sports horses","male","other",13,1,"culture and qPCR"
1285,2016-04-15,139,1187,"UK native pony breeds","unreported","other",5,1,"qPCR"
614,2015-02-18,46,1301,"Non UK native horses","unreported","undefined",7,1,"culture and qPCR"
1400,2016-08-05,1126,1243,"undefined","unreported","undefined",3,1,"qPCR"
575,2015-01-22,147,1490,"undefined","unreported","undefined",15,1,"qPCR"
641,2015-12-07,1113,1449,"UK native pony breeds","male","undefined",NA,1,"qPCR"
733,2015-04-21,54,1259,"UK native pony breeds","female","undefined",18,1,"culture and qPCR"
1103,2015-12-28,43,1442,"UK native pony breeds","male","undefined",NA,1,"qPCR"
623,2015-02-18,121,1269,"UK native pony breeds","female","undefined",5,1,"qPCR"
1543,2017-01-12,111,1490,"Sports horses","female","undefined",2,1,"qPCR"
1594,2017-03-21,818,1284,"Sports horses","unreported","undefined",14,1,"culture and qPCR"
1750,2018-02-27,231,1495,"UK native pony breeds","female","private",10,1,"qPCR"
680,2015-03-20,52,1449,"undefined","unreported","undefined",NA,1,"qPCR"
1096,2015-12-21,99,1508,"undefined","unreported","undefined",NA,1,"qPCR"
215,2018-12-17,75,1478,"Non UK native horses","male","undefined",NA,1,"qPCR"
589,2015-01-28,485,1454,"crossbreeds","male","commercial",NA,1,"qPCR"
1522,2016-12-29,365,1451,"undefined","unreported","undefined",NA,1,"qPCR"
