"","strangleslogid","eventdate","submittingvet_prim","nuts3gid","breedgen","sexgen","premesiscategory","age","submittinglab_prim"
"301",1718,2017-12-30,73,1463,"UK native pony breeds","male","undefined",7,1
"302",1263,2016-04-05,823,1470,"UK native pony breeds","female","commercial",14,1
"303",1600,2017-03-29,131,1436,"undefined","unreported","undefined",NA,1
"304",651,2015-03-03,369,1451,"undefined","male","private",NA,1
"305",1697,2017-11-14,124,1260,"Sports horses","female","commercial",10,1
"306",1366,2016-06-24,90,1453,"undefined","unreported","commercial",NA,1
"307",1690,2017-10-25,44,1506,"crossbreeds","male","undefined",16,1
"308",216,2018-12-17,24,1260,"UK native horse breeds","male","other",NA,1
"309",1356,2016-06-22,21,1268,"UK native horse breeds","male","commercial",17,1
"310",862,2015-07-15,760,1233,"UK native horse breeds","male","commercial",NA,1
"311",1753,2018-03-05,242,1442,"Sports horses","male","undefined",6,1
"312",630,2015-02-23,116,1466,"undefined","unreported","undefined",NA,1
"313",1669,2017-08-23,96,1380,"undefined","unreported","undefined",NA,1
"314",545,2015-01-06,857,1385,"UK native horse breeds","female","undefined",4,1
"315",235,2019-01-02,141,1191,"undefined","female","undefined",NA,4
"316",444,2019-09-23,43,1442,"Sports horses","unreported","commercial",8,1
"317",1109,2015-12-30,1120,1473,"undefined","unreported","undefined",NA,1
"318",853,2015-07-07,8,1260,"Sports horses","female","commercial",12,1
"319",582,2015-01-27,140,1292,"undefined","unreported","undefined",NA,1
"320",863,2015-07-15,83,1470,"Sports horses","male","other",13,1
"321",1285,2016-04-15,139,1187,"UK native pony breeds","unreported","other",5,1
"322",614,2015-02-18,46,1301,"Non UK native horses","unreported","undefined",7,1
"323",1400,2016-08-05,1126,1243,"undefined","unreported","undefined",3,1
"324",575,2015-01-22,147,1490,"undefined","unreported","undefined",15,1
"325",641,2015-12-07,1113,1449,"UK native pony breeds","male","undefined",NA,1
"326",733,2015-04-21,54,1259,"UK native pony breeds","female","undefined",18,1
"327",1103,2015-12-28,43,1442,"UK native pony breeds","male","undefined",NA,1
"328",623,2015-02-18,121,1269,"UK native pony breeds","female","undefined",5,1
"329",1543,2017-01-12,111,1490,"Sports horses","female","undefined",2,1
"330",1594,2017-03-21,818,1284,"Sports horses","unreported","undefined",14,1
"331",1750,2018-02-27,231,1495,"UK native pony breeds","female","private",10,1
"332",680,2015-03-20,52,1449,"undefined","unreported","undefined",NA,1
"333",1096,2015-12-21,99,1508,"undefined","unreported","undefined",NA,1
"334",215,2018-12-17,75,1478,"Non UK native horses","male","undefined",NA,1
"335",589,2015-01-28,485,1454,"crossbreeds","male","commercial",NA,1
"336",1522,2016-12-29,365,1451,"undefined","unreported","undefined",NA,1
"337",1146,2016-01-18,470,1519,"undefined","unreported","commercial",NA,1
"338",36,2019-02-16,97,1524,"Sports horses","male","private",12,1
"339",1693,2017-11-06,121,1269,"UK native pony breeds","unreported","undefined",NA,1
"340",1028,2015-10-16,111,1490,"undefined","female","undefined",NA,1
"341",578,2015-06-17,485,1454,"crossbreeds","male","undefined",NA,1
"342",1082,2015-12-07,159,1380,"UK native pony breeds","female","commercial",1.25,1
"343",358,2019-06-25,115,1219,"undefined","female","undefined",4,5
"344",537,2015-01-05,1127,1216,"undefined","unreported","undefined",NA,1
"345",1388,2016-07-24,633,1485,"undefined","unreported","undefined",NA,1
"346",118,2018-06-18,18,1456,"undefined","unreported","other",NA,1
"347",1018,2015-10-07,120,1238,"UK native pony breeds","female","undefined",3,1
"348",160,2018-09-04,76,1508,"UK native pony breeds","female","undefined",24,5
"349",203,2018-12-01,72,1282,"UK native horse breeds","female","other",1,1
"350",1064,2015-11-25,116,1466,"UK native horse breeds","unreported","undefined",NA,1
"351",454,2019-10-11,157,1380,"undefined","male","undefined",NA,4
"352",1386,2016-07-20,931,1522,"crossbreeds","male","undefined",NA,1
"353",89,2018-04-16,72,1282,"Sports horses","unreported","commercial",NA,1
"354",1026,2015-10-12,823,1470,"undefined","unreported","commercial",NA,1
"355",228,2018-12-27,42,1284,"crossbreeds","male","commercial",23,1
"356",844,2015-07-03,73,1463,"Sports horses","male","undefined",10,1
"357",1712,2017-12-18,99,1508,"undefined","unreported","undefined",NA,1
"358",134,2018-07-12,99,1508,"undefined","unreported","undefined",NA,1
"359",1262,2016-04-04,28,1292,"undefined","female","undefined",NA,1
"360",1767,2018-03-15,184,1190,"UK native horse breeds","male","undefined",8,1
"361",1485,2016-11-14,139,1187,"undefined","unreported","undefined",NA,1
"362",68,2019-04-05,132,1192,"UK native horse breeds","female","undefined",10,1
"363",1764,2018-03-08,111,1490,"undefined","female","commercial",NA,1
"364",108,2018-05-16,111,1490,"crossbreeds","unreported","other",5,1
"365",919,2015-08-13,39,1240,"Sports horses","male","commercial",5,1
"366",822,2015-06-23,62,1317,"crossbreeds","male","commercial",10,1
"367",17,2018-11-06,46,1301,"UK native pony breeds","male","undefined",3,5
"368",829,2015-06-26,5,1447,"undefined","male","commercial",6,1
"369",440,2019-09-12,73,1463,"undefined","unreported","commercial",NA,1
"370",253,2019-01-15,65,1238,"undefined","male","undefined",12,4
"371",1271,2016-04-07,442,1244,"undefined","unreported","undefined",NA,1
"372",1197,2016-02-22,135,1424,"undefined","unreported","commercial",10,1
"373",291,2019-03-04,103,1191,"undefined","unreported","undefined",8,4
"374",887,2015-07-22,143,1190,"Sports horses","male","commercial",9,1
"375",1230,2016-03-16,818,1284,"UK native horse breeds","male","undefined",NA,1
"376",376,2019-07-18,17,1292,"Non UK native horses","male","commercial",NA,1
"377",580,2015-01-27,140,1292,"undefined","unreported","undefined",NA,1
"378",395,2019-08-13,161,1495,"undefined","unreported","undefined",NA,3
"379",298,2019-03-18,48,1449,"undefined","female","undefined",9,1
"380",1642,2017-06-02,923,1188,"Sports horses","male","commercial",21,1
"381",1361,2016-06-24,43,1442,"Sports horses","unreported","undefined",8,1
"382",859,2015-07-13,114,1218,"UK native horse breeds","female","commercial",8,1
"383",1226,2016-03-13,65,1238,"UK native pony breeds","female","other",NA,1
